,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,FamilySize,FamilyLabel,Deck,TicketGroup,Surname,FamilyGroup
888,889,0.0,3,"Johnston, Miss. Catherine Helen ""Carrie""",female,17.333729506491817,1,2,W./C. 6607,23.45,Unknown,S,Miss,4,2,U,2,Johnston,4
895,896,,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",female,22.0,1,1,3101298,12.2875,Unknown,S,Mrs,3,2,U,2,Hirvonen,2
897,898,,3,"Connolly, Miss. Kate",female,30.0,0,0,330972,7.6292,Unknown,Q,Miss,1,1,U,1,Connolly,2
903,904,,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,23.0,1,0,21228,82.2667,B45,S,Mrs,2,2,B,2,Snyder,2
905,906,,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,1,0,W.E.P. 5734,61.175,E31,S,Mrs,2,2,E,2,Chaffee,2
906,907,,2,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female,24.0,1,0,SC/PARIS 2167,27.7208,Unknown,C,Mrs,2,2,U,2,del Carlo,2
909,910,,3,"Ilmakangas, Miss. Ida Livija",female,27.0,1,0,STON/O2. 3101270,7.925,Unknown,S,Miss,2,2,U,1,Ilmakangas,2
912,913,,3,"Olsen, Master. Artur Karl",male,9.0,0,1,C 17368,3.1708,Unknown,S,Master,2,2,U,1,Olsen,4
915,916,,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,48.0,1,3,PC 17608,262.375,B57 B59 B63 B66,C,Mrs,5,1,B,1,Ryerson,5
917,918,,1,"Ostby, Miss. Helene Ragnhild",female,22.0,0,1,113509,61.9792,B36,C,Miss,2,2,B,2,Ostby,2
923,924,,3,"Dean, Mrs. Bertram (Eva Georgetta Light)",female,33.0,1,2,C.A. 2315,20.575,Unknown,S,Mrs,4,2,U,2,Dean,4
924,925,,3,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",female,32.49434306285119,1,2,W./C. 6607,23.45,Unknown,S,Mrs,4,2,U,2,Johnston,4
928,929,,3,"Cacic, Miss. Manda",female,21.0,0,0,315087,8.6625,Unknown,S,Miss,1,1,U,1,Cacic,4
935,936,,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45.0,1,0,11753,52.5542,D19,S,Mrs,2,2,D,2,Kimball,2
940,941,,3,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",female,36.0,0,2,C.A. 37671,15.9,Unknown,S,Mrs,3,2,U,2,Coutts,3
943,944,,2,"Hocking, Miss. Ellen Nellie""""",female,20.0,2,1,29105,23.0,Unknown,S,Miss,4,2,U,2,Hocking,4
944,945,,1,"Fortune, Miss. Ethel Flora",female,28.0,3,2,19950,263.0,C23 C25 C27,S,Miss,6,1,C,1,Fortune,6
946,947,,3,"Rice, Master. Albert",male,10.0,4,1,382652,29.125,Unknown,Q,Master,6,1,U,1,Rice,6
954,955,,3,"Bradley, Miss. Bridget Delia",female,22.0,0,0,334914,7.725,Unknown,Q,Miss,1,1,U,1,Bradley,2
957,958,,3,"Burns, Miss. Mary Delia",female,18.0,0,0,330963,7.8792,Unknown,Q,Miss,1,1,U,1,Burns,2
960,961,,1,"Fortune, Mrs. Mark (Mary McDougald)",female,60.0,1,4,19950,263.0,C23 C25 C27,S,Mrs,6,1,C,1,Fortune,6
971,972,,3,"Boulos, Master. Akar",male,6.0,1,1,2678,15.2458,Unknown,C,Master,3,2,U,2,Boulos,4
980,981,,2,"Wells, Master. Ralph Lester",male,2.0,1,1,29103,23.0,Unknown,S,Master,3,2,U,2,Wells,3
981,982,,3,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",female,22.0,1,0,347072,13.9,Unknown,S,Mrs,2,2,U,2,Dyker,2
983,984,,1,"Davidson, Mrs. Thornton (Orian Hays)",female,27.0,1,2,F.C. 12750,52.0,B71,S,Mrs,4,2,B,2,Davidson,2
987,988,,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76.0,1,0,19877,78.85,C46,S,Mrs,2,2,C,2,Cavendish,2
991,992,,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,43.0,1,0,11778,55.4417,C116,C,Mrs,2,2,C,2,Stengel,2
995,996,,3,"Thomas, Mrs. Alexander (Thamine Thelma"")""",female,16.0,1,1,2625,8.5167,Unknown,C,Mrs,3,2,U,2,Thomas,5
1004,1005,,3,"Buckley, Miss. Katherine",female,18.5,0,0,329944,7.2833,Unknown,Q,Miss,1,1,U,1,Buckley,2
1005,1006,,1,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,63.0,1,0,PC 17483,221.7792,C55 C57,S,Mrs,2,2,C,2,Straus,2
1008,1009,,3,"Sandstrom, Miss. Beatrice Irene",female,1.0,1,1,PP 9549,16.7,G6,S,Miss,3,2,G,2,Sandstrom,3
1010,1011,,2,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29.0,1,0,SC/AH 29037,26.0,Unknown,S,Mrs,2,2,U,2,Chapman,3
1011,1012,,2,"Watt, Miss. Bertha J",female,12.0,0,0,C.A. 33595,15.75,Unknown,S,Miss,1,1,U,2,Watt,2
1016,1017,,3,"Cribb, Miss. Laura Alice",female,17.0,0,1,371362,16.1,Unknown,S,Miss,2,2,U,2,Cribb,2
1018,1019,,3,"McCoy, Miss. Alicia",female,17.333729506491817,2,0,367226,23.25,Unknown,Q,Miss,3,2,U,2,McCoy,3
1023,1024,,3,"Lefebre, Mrs. Frank (Frances)",female,32.49434306285119,0,4,4133,25.4667,Unknown,S,Mrs,5,1,U,1,Lefebre,5
1031,1032,,3,"Goodwin, Miss. Jessie Allis",female,10.0,5,2,CA 2144,46.9,Unknown,S,Miss,8,0,U,1,Goodwin,8
1044,1045,,3,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",female,36.0,0,2,350405,12.1833,Unknown,S,Mrs,3,2,U,2,Klasen,3
1050,1051,,3,"Peacock, Mrs. Benjamin (Edith Nile)",female,26.0,0,2,SOTON/O.Q. 3101315,13.775,Unknown,S,Mrs,3,2,U,2,Peacock,3
1052,1053,,3,"Touma, Master. Georges Youssef",male,7.0,1,1,2650,15.2458,Unknown,C,Master,3,2,U,2,Touma,3
1053,1054,,2,"Wright, Miss. Marion",female,26.0,0,0,220844,13.5,Unknown,S,Miss,1,1,U,1,Wright,2
1056,1057,,3,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",female,26.0,1,1,315153,22.025,Unknown,S,Mrs,3,2,U,2,Kink-Heilmann,3
1066,1067,,2,"Brown, Miss. Edith Eileen",female,15.0,0,2,29750,39.0,Unknown,S,Miss,3,2,U,2,Brown,6
1069,1070,,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,36.0,0,3,230136,39.0,F4,S,Mrs,4,2,F,2,Becker,4
1070,1071,,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,0,2,PC 17756,83.1583,E45,C,Mrs,3,2,E,2,Compton,3
1073,1074,,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18.0,1,0,113773,53.1,D30,S,Mrs,2,2,D,2,Marvin,2
1075,1076,,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27.0,1,1,PC 17558,247.5208,B58 B60,C,Mrs,3,2,B,2,Douglas,3
1077,1078,,2,"Phillips, Miss. Alice Frances Louisa",female,21.0,0,1,S.O./P.P. 2,21.0,Unknown,S,Miss,2,2,U,2,Phillips,3
1079,1080,,3,"Sage, Miss. Ada",female,17.333729506491817,8,2,CA. 2343,69.55,Unknown,S,Miss,11,0,U,0,Sage,11
1083,1084,,3,"van Billiard, Master. Walter John",male,11.5,1,1,A/5. 851,14.5,Unknown,S,Master,3,2,U,2,van Billiard,3
1085,1086,,2,"Drew, Master. Marshall Brines",male,8.0,0,2,28220,32.5,Unknown,S,Master,3,2,U,2,Drew,3
1087,1088,,1,"Spedden, Master. Robert Douglas",male,6.0,0,2,16966,134.5,E34,C,Master,3,2,E,1,Spedden,3
1088,1089,,3,"Nilsson, Miss. Berta Olivia",female,18.0,0,0,347066,7.775,Unknown,S,Miss,1,1,U,1,Nilsson,3
1091,1092,,3,"Murphy, Miss. Nora",female,17.333729506491817,0,0,36568,15.5,Unknown,Q,Miss,1,1,U,2,Murphy,3
1092,1093,,3,"Danbom, Master. Gilbert Sigvard Emanuel",male,0.33,0,2,347080,14.4,Unknown,S,Master,3,2,U,2,Danbom,3
1094,1095,,2,"Quick, Miss. Winifred Vera",female,8.0,1,1,26360,26.0,Unknown,S,Miss,3,2,U,2,Quick,3
1097,1098,,3,"McGowan, Miss. Katherine",female,35.0,0,0,9232,7.75,Unknown,Q,Miss,1,1,U,1,McGowan,2
1104,1105,,2,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",female,60.0,1,0,24065,26.0,Unknown,S,Mrs,2,2,U,2,Howard,3
1105,1106,,3,"Andersson, Miss. Ida Augusta Margareta",female,38.0,4,2,347091,7.775,Unknown,S,Miss,7,1,U,1,Andersson,11
1107,1108,,3,"Mahon, Miss. Bridget Delia",female,17.333729506491817,0,0,330924,7.8792,Unknown,Q,Miss,1,1,U,1,Mahon,2
1109,1110,,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,50.0,1,1,113503,211.5,C80,C,Mrs,3,2,C,1,Widener,3
1111,1112,,2,"Duran y More, Miss. Florentina",female,30.0,1,0,SC/PARIS 2148,13.8583,Unknown,C,Miss,2,2,U,1,Duran y More,2
1113,1114,,2,"Cook, Mrs. (Selena Rogers)",female,22.0,0,0,W./C. 14266,10.5,F33,S,Mrs,1,1,F,1,Cook,2
1116,1117,,3,"Moubarek, Mrs. George (Omine Amenia"" Alexander)""",female,32.49434306285119,0,2,2661,15.2458,Unknown,C,Mrs,3,2,U,2,Moubarek,3
1130,1131,,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48.0,1,0,PC 17761,106.425,C86,C,Mrs,2,2,C,2,Douglas,3
1132,1133,,2,"Christy, Mrs. (Alice Frances)",female,45.0,0,2,237789,30.0,Unknown,S,Mrs,3,2,U,2,Christy,2
1135,1136,,3,"Johnston, Master. William Arthur Willie""""",male,6.035598611570747,1,2,W./C. 6607,23.45,Unknown,S,Master,4,2,U,2,Johnston,4
1139,1140,,2,"Hold, Mrs. Stephen (Annie Margaret Hill)",female,29.0,1,0,26707,26.0,Unknown,S,Mrs,2,2,U,2,Hold,2
1140,1141,,3,"Khalil, Mrs. Betros (Zahie Maria"" Elias)""",female,32.49434306285119,1,0,2660,14.4542,Unknown,C,Mrs,2,2,U,2,Khalil,2
1141,1142,,2,"West, Miss. Barbara J",female,0.92,1,2,C.A. 34651,27.75,Unknown,S,Miss,4,2,U,2,West,4
1153,1154,,2,"Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)""",female,29.0,0,2,29103,23.0,Unknown,S,Mrs,3,2,U,2,Wells,3
1154,1155,,3,"Klasen, Miss. Gertrud Emilia",female,1.0,1,1,350405,12.1833,Unknown,S,Miss,3,2,U,2,Klasen,3
1159,1160,,3,"Howard, Miss. May Elizabeth",female,17.333729506491817,0,0,A. 2. 39186,8.05,Unknown,S,Miss,1,1,U,1,Howard,3
1163,1164,,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26.0,1,0,13508,136.7792,C89,C,Mrs,2,2,C,2,Clark,2
1164,1165,,3,"Lennon, Miss. Mary",female,17.333729506491817,1,0,370371,15.5,Unknown,Q,Miss,2,2,U,2,Lennon,2
1166,1167,,2,"Bryhl, Miss. Dagmar Jenny Ingeborg ",female,20.0,1,0,236853,26.0,Unknown,S,Miss,2,2,U,2,Bryhl,2
1171,1172,,3,"Oreskovic, Miss. Jelka",female,23.0,0,0,315085,8.6625,Unknown,S,Miss,1,1,U,1,Oreskovic,3
1172,1173,,3,"Peacock, Master. Alfred Edward",male,0.75,1,1,SOTON/O.Q. 3101315,13.775,Unknown,S,Master,3,2,U,2,Peacock,3
1173,1174,,3,"Fleming, Miss. Honora",female,17.333729506491817,0,0,364859,7.75,Unknown,Q,Miss,1,1,U,1,Fleming,2
1174,1175,,3,"Touma, Miss. Maria Youssef",female,9.0,1,1,2650,15.2458,Unknown,C,Miss,3,2,U,2,Touma,3
1175,1176,,3,"Rosblom, Miss. Salli Helena",female,2.0,1,1,370129,20.2125,Unknown,S,Miss,3,2,U,2,Rosblom,3
1182,1183,,3,"Daly, Miss. Margaret Marcella Maggie""""",female,30.0,0,0,382650,6.95,Unknown,Q,Miss,1,1,U,1,Daly,3
1187,1188,,2,"Laroche, Miss. Louise",female,1.0,1,2,SC/Paris 2123,41.5792,Unknown,C,Miss,4,2,U,2,Laroche,4
1195,1196,,3,"McCarthy, Miss. Catherine Katie""""",female,17.333729506491817,0,0,383123,7.75,Unknown,Q,Miss,1,1,U,1,McCarthy,2
1196,1197,,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,64.0,1,1,112901,26.55,B26,S,Mrs,3,2,B,1,Crosby,3
1198,1199,,3,"Aks, Master. Philip Frank",male,0.83,0,1,392091,9.35,Unknown,S,Master,2,2,U,2,Aks,2
1200,1201,,3,"Hansen, Mrs. Claus Peter (Jennie L Howard)",female,45.0,1,0,350026,14.1083,Unknown,S,Mrs,2,2,U,2,Hansen,4
1204,1205,,3,"Carr, Miss. Jeannie",female,37.0,0,0,368364,7.75,Unknown,Q,Miss,1,1,U,1,Carr,2
1205,1206,,1,"White, Mrs. John Stuart (Ella Holmes)",female,55.0,0,0,PC 17760,135.6333,C32,C,Mrs,1,1,C,2,White,3
1217,1218,,2,"Becker, Miss. Ruth Elizabeth",female,12.0,2,1,230136,39.0,F4,S,Miss,4,2,F,2,Becker,4
1221,1222,,2,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",female,48.0,0,2,C.A. 33112,36.75,Unknown,S,Mrs,3,2,U,2,Davies,7
1224,1225,,3,"Nakid, Mrs. Said (Waika Mary"" Mowad)""",female,19.0,1,1,2653,15.7417,Unknown,C,Mrs,3,2,U,2,Nakid,3
1230,1231,,3,"Betros, Master. Seman",male,6.035598611570747,0,0,2622,7.2292,Unknown,C,Master,1,1,U,1,Betros,2
1234,1235,,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,0,1,PC 17755,512.3292,B51 B53 B55,C,Mrs,2,2,B,2,Cardeza,2
1235,1236,,3,"van Billiard, Master. James William",male,6.035598611570747,1,1,A/5. 851,14.5,Unknown,S,Master,3,2,U,2,van Billiard,3
1236,1237,,3,"Abelseth, Miss. Karen Marie",female,16.0,0,0,348125,7.65,Unknown,S,Miss,1,1,U,1,Abelseth,2
1241,1242,,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45.0,0,1,PC 17759,63.3583,D10 D12,C,Mrs,2,2,D,2,Greenfield,2
1245,1246,,3,"Dean, Miss. Elizabeth Gladys Millvina""""",female,0.17,1,2,C.A. 2315,20.575,Unknown,S,Miss,4,2,U,2,Dean,4
1247,1248,,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,2,0,11769,51.4792,C101,S,Mrs,3,2,C,2,Brown,6
1250,1251,,3,"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",female,30.0,1,0,349910,15.55,Unknown,S,Mrs,2,2,U,2,Lindell,2
1252,1253,,2,"Mallet, Mrs. Albert (Antoinette Magnin)",female,24.0,1,1,S.C./PARIS 2079,37.0042,Unknown,C,Mrs,3,2,U,2,Mallet,3
1253,1254,,2,"Ware, Mrs. John James (Florence Louise Long)",female,31.0,0,0,CA 31352,21.0,Unknown,S,Mrs,1,1,U,2,Ware,4
1255,1256,,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,25.0,1,0,11765,55.4417,E50,C,Mrs,2,2,E,2,Harder,2
1256,1257,,3,"Sage, Mrs. John (Annie Bullen)",female,32.49434306285119,1,9,CA. 2343,69.55,Unknown,S,Mrs,11,0,U,0,Sage,11
1259,1260,,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45.0,0,1,112378,59.4,Unknown,C,Mrs,2,2,U,2,Gibson,2
1265,1266,,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54.0,1,1,33638,81.8583,A34,S,Mrs,3,2,A,2,Dodge,3
1266,1267,,1,"Bowen, Miss. Grace Scott",female,45.0,0,0,PC 17608,262.375,Unknown,C,Miss,1,1,U,1,Bowen,2
1267,1268,,3,"Kink, Miss. Maria",female,22.0,2,0,315152,8.6625,Unknown,S,Miss,3,2,U,1,Kink,2
1270,1271,,3,"Asplund, Master. Carl Edgar",male,5.0,4,2,347077,31.3875,Unknown,S,Master,7,1,U,1,Asplund,8
1273,1274,,3,"Risien, Mrs. Samuel (Emma)",female,32.49434306285119,0,0,364498,14.5,Unknown,S,Mrs,1,1,U,2,Risien,2
1274,1275,,3,"McNamee, Mrs. Neal (Eileen O'Leary)",female,19.0,1,0,376566,16.1,Unknown,S,Mrs,2,2,U,2,McNamee,2
1276,1277,,2,"Herman, Miss. Kate",female,24.0,1,2,220845,65.0,Unknown,S,Miss,4,2,U,1,Herman,4
1280,1281,,3,"Palsson, Master. Paul Folke",male,6.0,3,1,349909,21.075,Unknown,S,Master,5,1,U,1,Palsson,5
1282,1283,,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51.0,0,1,PC 17592,39.4,D28,S,Mrs,2,2,D,2,Lines,2
1286,1287,,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",female,18.0,1,0,13695,60.0,C31,S,Mrs,2,2,C,2,Smith,6
1288,1289,,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,48.0,1,1,13567,79.2,B41,C,Mrs,3,2,B,2,Frolicher-Stehli,2
1291,1292,,1,"Bonnell, Miss. Caroline",female,30.0,0,0,36928,164.8667,C7,S,Miss,1,1,C,2,Bonnell,2
1293,1294,,1,"Gibson, Miss. Dorothy Winifred",female,22.0,0,1,112378,59.4,Unknown,C,Miss,2,2,U,2,Gibson,2
1300,1301,,3,"Peacock, Miss. Treasteall",female,3.0,1,1,SOTON/O.Q. 3101315,13.775,Unknown,S,Miss,3,2,U,2,Peacock,3
1302,1303,,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,1,0,19928,90.0,C78,Q,Mrs,2,2,C,2,Minahan,3
1308,1309,,3,"Peter, Master. Michael J",male,6.035598611570747,1,1,2668,22.3583,Unknown,C,Master,3,2,U,2,Peter,3
